nome_municipio,produtividade_kg_ha,valor_por_hectare
São João do Arraial,0.30348258706467662,0.59203980099502485
Boqueirão do Piauí,0.27230290456431533,0.57572614107883813
Murici dos Portelas,0.29477611940298509,0.5699626865671642
Madeiro,0.32835820895522388,0.5074626865671642
Jatobá do Piauí,0.29683604985618406,0.50661553211888788
Joca Marques,0.35336381450032656,0.49836708033964727
Boa Hora,0.3189695550351288,0.48899297423887589
Campo Largo do Piauí,0.30120481927710846,0.48192771084337349
Cajueiro da Praia,0.30373929392103616,0.47879674117401294
Cocal dos Alves,0.28182232249727246,0.4764159437329859
Ilha Grande,0.31932773109243695,0.46638655462184875
Canavieira,0.24331275720164608,0.46450617283950618
Caraúbas do Piauí,0.2726623840114204,0.46395431834404
Nossa Senhora de Nazaré,0.2510460251046025,0.45726240286909742
Bom Princípio do Piauí,0.29075877531002592,0.45430660454471145
Joaquim Pires,2.08045757864633,0.451180819828408
Nossa Senhora dos Remédios,3.9745042492917846,0.44796543909348441
Nazária,0.20335700451904454,0.44415752098127825
Geminiano,0.20742314587344798,0.44293207622335834
Pau D'Arco do Piauí,0.24959690422444372,0.44276039987100935
Morro do Chapéu do Piauí,0.30886243386243384,0.43121693121693122
Lagoa do Piauí,0.23230879199428162,0.43030736240171552
Agricolândia,5.0669856459330145,0.4206094567970729
São Gonçalo do Piauí,1.1806440198159944,0.41331509200283084
Curralinhos,0.22770761576731727,0.41102181400688864
Amarante,2.7575094339622641,0.40693070188679253
Cabeceiras do Piauí,0.30338067110720118,0.40378671609903233
Batalha,2.147076709234645,0.40043364318188396
Cocal de Telha,0.234069804674992,0.39833493435798911
Arraial,3.7981530343007917,0.39317025065963068
Matias Olímpio,1.5229485396383866,0.38839527121001394
Olho D'Água do Piauí,0.25169099323602706,0.38554645781416874
São João da Serra,0.26627218934911245,0.38461538461538464
Capitão de Campos,1.9453151050350117,0.37892370790263424
Colônia do Gurguéia,0.24574753804834379,0.37837551477170994
Inhuma,0.73624131030124285,0.37606597851274487
Luzilândia,4.4755976095617527,0.37414606573705173
Palmeira do Piauí,0.25636418089248281,0.37353507038035338
Lagoa Alegre,0.28988149498632637,0.37351704649042844
Gilbués,0.23846153846153847,0.36461538461538462
Currais,0.24142011834319527,0.36449704142011835
Caxingó,0.2579098753595398,0.36337488015340363
Hugo Napoleão,2.141529235382309,0.35778539730134934
Redenção do Gurguéia,0.25579854208084823,0.35321404903909875
Francisco Ayres,0.42857142857142855,0.34790211640211643
Paquetá,0.18960731488284757,0.34272185484529349
Juazeiro do Piauí,0.21268368136117555,0.34261407579273007
Jardim do Mulato,0.26360450101457295,0.34218778823095369
Miguel Alves,0.27475947934352007,0.3419606960950764
Lagoa de São Francisco,0.21546961325966851,0.34003013561024609
Várzea Grande,0.63811188811188813,0.33929654720279717
Lagoinha do Piauí,0.22702104097452935,0.33887043189368771
Barras,5.7232545354590432,0.33420910390324349
Miguel Leão,0.27536231884057971,0.33333333333333331
São Miguel da Baixa Grande,0.19392523364485981,0.32476635514018692
Barra D'Alcântara,0.21194029850746268,0.32238805970149254
Francinópolis,0.54508196721311475,0.3135693647540983
José de Freitas,1.2247292418772564,0.30668548059566786
Milton Brandão,0.20262987712869152,0.30620823453330459
Barro Duro,2.846292092319334,0.2982211123723042
Santa Luz,0.27163969035890217,0.29627023223082338
Coivaras,0.20858164481525626,0.29219184828877914
Novo Santo Antônio,0.2025931928687196,0.29173419773095621
Sigefredo Pacheco,0.20920370661221926,0.28817567143081513
Tanque do Piauí,0.19851894047279978,0.28766733124465965
Belém do Piauí,0.16762649115590292,0.28630193336075688
São Pedro do Piauí,4.1727558274094889,0.28571104314762774
