ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2021,AL,Castanha de caju,627,412.0,702.78571428571445,1764.0
2021,AM,Caju,,,,
2021,AM,Castanha de caju,,,,
2021,AP,Caju,,,,
2021,AP,Castanha de caju,,,,
2021,BA,Caju,,,,
2021,BA,Castanha de caju,15439,3954.0,328.28000000000003,16962.0
2021,CE,Caju,,,,
2021,CE,Castanha de caju,271066,62977.0,257.37908496732018,295682.0
2021,DF,Caju,,,,
2021,DF,Castanha de caju,,,,
2021,ES,Caju,,,,
2021,ES,Castanha de caju,,,,
2021,GO,Caju,,,,
2021,GO,Castanha de caju,,,,
2021,MA,Caju,,,,
2021,MA,Castanha de caju,10880,3610.0,348.15841584158414,8192.0
2021,MG,Caju,,,,
2021,MG,Castanha de caju,,,,
2021,MS,Caju,,,,
2021,MS,Castanha de caju,,,,
2021,MT,Caju,,,,
2021,MT,Castanha de caju,150,89.0,593.0,178.0
2021,PA,Caju,,,,
2021,PA,Castanha de caju,1064,723.0,754.66666666666674,1811.0
2021,PB,Caju,,,,
2021,PB,Castanha de caju,2941,676.0,255.21495327102815,2161.0
2021,PE,Caju,,,,
2021,PE,Castanha de caju,2165,2625.0,736.73684210526312,14862.0
2021,PI,Caju,,,,
2021,PI,Castanha de caju,72327,19020.0,279.52906976744197,73076.0
2021,PR,Caju,,,,
2021,PR,Castanha de caju,,,,
2021,RJ,Caju,,,,
2021,RJ,Castanha de caju,,,,
2021,RN,Caju,,,,
2021,RN,Castanha de caju,50325,16920.0,367.01639344262287,61920.0
2021,RO,Caju,,,,
2021,RO,Castanha de caju,,,,
2021,RR,Caju,,,,
2021,RR,Castanha de caju,,,,
2021,RS,Caju,,,,
2021,RS,Castanha de caju,,,,
2021,SC,Caju,,,,
2021,SC,Castanha de caju,,,,
2021,SE,Caju,,,,
2021,SE,Castanha de caju,,,,
2021,SP,Caju,,,,
2021,SP,Castanha de caju,,,,
2021,TO,Caju,,,,
2021,TO,Castanha de caju,10,6.0,750.0,12.0
2020,AC,Caju,,,,
2020,AC,Castanha de caju,,,,
2020,AL,Caju,,,,
2020,AL,Castanha de caju,802,531.0,665.70731707317077,1524.0
2020,AM,Caju,,,,
2020,AM,Castanha de caju,,,,
2020,AP,Caju,,,,
2020,AP,Castanha de caju,,,,
2020,BA,Caju,,,,
2020,BA,Castanha de caju,15466,4017.0,347.0,12282.0
2020,CE,Caju,,,,
2020,CE,Castanha de caju,269900,85177.0,349.47058823529426,280606.0
2020,DF,Caju,,,,
2020,DF,Castanha de caju,,,,
2020,ES,Caju,,,,
2020,ES,Castanha de caju,,,,
2020,GO,Caju,,,,
2020,GO,Castanha de caju,,,,
2020,MA,Caju,,,,
2020,MA,Castanha de caju,11214,3726.0,362.45098039215685,7249.0
2020,MG,Caju,,,,
2020,MG,Castanha de caju,,,,
2020,MS,Caju,,,,
2020,MS,Castanha de caju,,,,
2020,MT,Caju,,,,
2020,MT,Castanha de caju,150,87.0,580.0,157.0
2020,PA,Caju,,,,
2020,PA,Castanha de caju,1110,746.0,768.41666666666674,1560.0
2020,PB,Caju,,,,
2020,PB,Castanha de caju,3194,823.0,251.00925925925921,2317.0
2020,PE,Caju,,,,
2020,PE,Castanha de caju,2307,3525.0,846.89473684210532,17746.0
2020,PI,Caju,,,,
2020,PI,Castanha de caju,71132,23155.0,300.40697674418595,64775.0
2020,PR,Caju,,,,
2020,PR,Castanha de caju,,,,
2020,RJ,Caju,,,,
2020,RJ,Castanha de caju,,,,
2020,RN,Caju,,,,
2020,RN,Castanha de caju,50846,17524.0,371.15447154471542,60114.0
2020,RO,Caju,,,,
2020,RO,Castanha de caju,,,,
2020,RR,Caju,,,,
2020,RR,Castanha de caju,,,,
2020,RS,Caju,,,,
2020,RS,Castanha de caju,,,,
2020,SC,Caju,,,,
2020,SC,Castanha de caju,,,,
2020,SE,Caju,,,,
