ano,sigla_uf,produto,producao_por_hectare,valor_por_hectare
2024,AL,Castanha de caju,1.46656050955414,8.2691082802547768
2024,BA,Castanha de caju,0.20840973759089473,0.7542839076825798
2024,CE,Castanha de caju,0.36068746859540979,1.6703809597950474
2024,MA,Castanha de caju,0.35514362877485883,1.0799165234470907
2024,MT,Castanha de caju,0.58666666666666667,1.4666666666666666
2024,PA,Castanha de caju,0.70705882352941174,1.8035294117647058
2024,PB,Castanha de caju,0.234052757793765,0.89976019184652278
2024,PE,Castanha de caju,1.3710526315789473,4.3513157894736842
2024,PI,Castanha de caju,0.33512912491561542,1.0879187790382145
2024,RN,Castanha de caju,0.3307043523049189,1.5397888230749421
2024,TO,Castanha de caju,0.66666666666666663,1.0
2023,AL,Castanha de caju,1.1737891737891737,5.1111111111111107
2023,BA,Castanha de caju,0.21477913682742886,0.8420051967805311
2023,CE,Castanha de caju,0.226500623021727,0.79596754558084248
2023,MA,Castanha de caju,0.36114272706578648,1.0125199180514455
2023,MT,Castanha de caju,0.58666666666666667,1.1733333333333333
2023,PA,Castanha de caju,0.67992424242424243,1.8787878787878789
2023,PB,Castanha de caju,0.23965936739659369,0.89862124898621254
2023,PE,Castanha de caju,1.3030023094688221,7.98568129330254
2023,PI,Castanha de caju,0.28682297644422583,0.71239820735639725
2023,RN,Castanha de caju,0.55003515752285237,2.2522938139909789
2023,TO,Castanha de caju,0.7142857142857143,1.1428571428571428
2022,AL,Castanha de caju,0.92261904761904767,3.9742063492063493
2022,BA,Castanha de caju,0.20944465919340291,0.9204355108877722
2022,CE,Castanha de caju,0.35152009284355418,1.4300184364969186
2022,MA,Castanha de caju,0.38897498339605935,1.096302855877795
2022,MT,Castanha de caju,0.59333333333333338,1.1866666666666668
2022,PA,Castanha de caju,0.70335820895522383,2.0130597014925371
2022,PB,Castanha de caju,0.24156039009752439,0.89309827456864221
2022,PE,Castanha de caju,1.2948777111213658,7.9547761882787267
2022,PI,Castanha de caju,0.29671307514340084,1.1447561159253632
2022,RN,Castanha de caju,0.37763307493540049,1.4131472868217054
2022,TO,Castanha de caju,0.55555555555555558,2.2222222222222223
2021,AL,Castanha de caju,0.65709728867623607,2.8133971291866029
2021,BA,Castanha de caju,0.25610466999157977,1.0986462853811776
2021,CE,Castanha de caju,0.23233087144828196,1.0908118318048003
2021,MA,Castanha de caju,0.33180147058823528,0.75294117647058822
2021,MT,Castanha de caju,0.59333333333333338,1.1866666666666668
2021,PA,Castanha de caju,0.67951127819548873,1.7020676691729324
2021,PB,Castanha de caju,0.22985379122747365,0.73478408704522269
2021,PE,Castanha de caju,1.2124711316397228,6.8646651270207855
2021,PI,Castanha de caju,0.26297233398315983,1.010355745433932
2021,RN,Castanha de caju,0.33621460506706408,1.2304023845007452
2021,TO,Castanha de caju,0.6,1.2
2020,AL,Castanha de caju,0.66209476309226933,1.9002493765586035
2020,BA,Castanha de caju,0.25973102288891764,0.794129057286952
2020,CE,Castanha de caju,0.31558725453871805,1.0396665431641348
2020,MA,Castanha de caju,0.33226324237560195,0.64642411271624756
2020,MT,Castanha de caju,0.58,1.0466666666666666
2020,PA,Castanha de caju,0.67207207207207209,1.4054054054054055
2020,PB,Castanha de caju,0.25767063243581717,0.72542266750156548
2020,PE,Castanha de caju,1.5279583875162548,7.6922410056350241
2020,PI,Castanha de caju,0.32552156554012257,0.91063093966147446
2020,RN,Castanha de caju,0.34464854659166894,1.1822758919089014
2020,TO,Castanha de caju,1.0,1.7
2019,AL,Castanha de caju,0.57187993680884674,1.4012638230647709
2019,BA,Castanha de caju,0.15802437127301011,0.51088929219600721
2019,CE,Castanha de caju,0.32488075339394185,0.95026666024260709
2019,MA,Castanha de caju,0.31442231075697213,0.54446215139442233
2019,MT,Castanha de caju,0.53333333333333333,1.0666666666666667
2019,PA,Castanha de caju,0.69384215091066781,1.5611448395490026
2019,PB,Castanha de caju,0.25484439224897243,0.62566059894304171
2019,PE,Castanha de caju,1.6583929322675641,3.4888514934791752
2019,PI,Castanha de caju,0.31177572787546842,0.75928221389449413
2019,RN,Castanha de caju,0.32807362297410353,0.95003599431873453
2019,TO,Castanha de caju,1.0,4.333333333333333
2018,AL,Castanha de caju,0.65323336457357073,1.5548266166822868
2018,BA,Castanha de caju,0.13347049844029998,0.44633968275038161
2018,CE,Castanha de caju,0.30443438250444538,0.8945720518413961
2018,MA,Castanha de caju,0.42225210559841458,0.71378016844787318
2018,MT,Castanha de caju,0.58787878787878789,1.1757575757575758
2018,PA,Castanha de caju,0.99128065395095366,2.0267029972752044
2018,PB,Castanha de caju,0.24971098265895952,0.57283236994219655
2018,PE,Castanha de caju,1.7090599744789452,3.6439812845597617
2018,PI,Castanha de caju,0.33002665676431975,0.840695993528109
2018,RN,Castanha de caju,0.34030878680087795,0.82104745326572315
2018,TO,Castanha de caju,1.1666666666666667,5.833333333333333
2017,AL,Castanha de caju,0.73147256977863329,1.9374398460057747
2017,BA,Castanha de caju,0.211875589066918,0.72284008796732646
2017,CE,Castanha de caju,0.26045122440786833,0.9124431955038137
2017,MA,Castanha de caju,0.39543487365628927,0.73181627809576988
2017,MT,Castanha de caju,0.6,1.2
2017,PA,Castanha de caju,0.62483940042826558,0.86552462526766594
2017,PB,Castanha de caju,0.2655367231638418,0.52542372881355937
2017,PE,Castanha de caju,0.93717080511662909,1.9450714823175319
2017,PI,Castanha de caju,0.22389232219545407,0.66082277155127267
2017,RN,Castanha de caju,0.33810419563261634,0.54620103050625668
2017,TO,Castanha de caju,1.1666666666666667,0.83333333333333337
